,Q21,Q22,Q23,Q24,Q25,Q26,Q28,Q29,Q30,Q31,tweet,value
4245,26-30,Male,Bachelor's degree,Employee,Strongly agree,Agree,Neither agree nor disagree,Disagree,Agree,A little concerned,The real difficulty is to overcome how you think about yourself. STRONG VOICE TEJASSWI REIGN OF TEJASSWI PRAKASH TejasswiPrakash.,3.0
4246,41-50,Female,Master's degree,Self-employed,Agree,Agree,Agree,Agree,Agree,Very concerned,The real difficulty is to overcome how you think about yourself. STRONG VOICE TEJASSWI REIGN OF TEJASSWI PRAKASH TejasswiPrakash.,4.0
4247,31-40,Male,Bachelor's degree,Out of work but not currently looking for work,Agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat concerned,The real difficulty is to overcome how you think about yourself. STRONG VOICE TEJASSWI REIGN OF TEJASSWI PRAKASH TejasswiPrakash.,5.0
4248,31-40,Male,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Agree,Agree,Agree,Somewhat concerned," I think data science has changed things, the math tells our superiors what they can get away with, which includes mass manslaughter apparently bit of a leap from merely starving us, but the numbers say we'll suck it up,  still our fault of course.",2.0
4249,26-30,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,A little concerned," I think data science has changed things, the math tells our superiors what they can get away with, which includes mass manslaughter apparently bit of a leap from merely starving us, but the numbers say we'll suck it up,  still our fault of course.",4.0
4250,41-50,Female,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat concerned," I think data science has changed things, the math tells our superiors what they can get away with, which includes mass manslaughter apparently bit of a leap from merely starving us, but the numbers say we'll suck it up,  still our fault of course.",3.0
4251,41-50,Male,Master's degree,Self-employed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all concerned," I think data science has changed things, the math tells our superiors what they can get away with, which includes mass manslaughter apparently bit of a leap from merely starving us, but the numbers say we'll suck it up,  still our fault of course.",1.0
4252,31-40,Male,Master's degree,Employee,Agree,Strongly agree,Agree,Agree,Agree,Very concerned," I think data science has changed things, the math tells our superiors what they can get away with, which includes mass manslaughter apparently bit of a leap from merely starving us, but the numbers say we'll suck it up,  still our fault of course.",4.0
4253,41-50,Male,Bachelor's degree,Self-employed,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Not at all concerned," I think data science has changed things, the math tells our superiors what they can get away with, which includes mass manslaughter apparently bit of a leap from merely starving us, but the numbers say we'll suck it up,  still our fault of course.",2.0
4254,26-30,Female,Bachelor's degree,Out of work and looking for work,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Somewhat concerned," I think data science has changed things, the math tells our superiors what they can get away with, which includes mass manslaughter apparently bit of a leap from merely starving us, but the numbers say we'll suck it up,  still our fault of course.",4.0
4255,41-50,Male,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Agree,Agree,Very concerned," I think data science has changed things, the math tells our superiors what they can get away with, which includes mass manslaughter apparently bit of a leap from merely starving us, but the numbers say we'll suck it up,  still our fault of course.",3.0
4256,26-30,Female,High school graduate with diploma,Employee,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,A little concerned," I think data science has changed things, the math tells our superiors what they can get away with, which includes mass manslaughter apparently bit of a leap from merely starving us, but the numbers say we'll suck it up,  still our fault of course.",3.0
4257,41-50,Female,Bachelor's degree,Employee,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Very concerned," I think data science has changed things, the math tells our superiors what they can get away with, which includes mass manslaughter apparently bit of a leap from merely starving us, but the numbers say we'll suck it up,  still our fault of course.",4.0
4258,41-50,Male,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Very concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",3.0
4259,41-50,Male,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Agree,Agree,A little concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",3.0
4260,26-30,Male,Bachelor's degree,Self-employed,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",3.0
4261,18-25,Male,Bachelor's degree,Employee,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Not at all concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",4.0
4262,Above 60 years old,Male,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,A little concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",4.0
4263,41-50,Male,Bachelor's degree,Employee,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Very concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",3.0
4264,26-30,Male,Bachelor's degree,Employee,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",2.0
4265,31-40,Female,Master's degree,Employee,Strongly agree,Agree,Disagree,Agree,Neither agree nor disagree,Very concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",3.0
4266,18-25,Female,High school graduate with diploma,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",4.0
4267,41-50,Female,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",3.0
4268,26-30,Male,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,A little concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",2.0
4269,31-40,Female,High school graduate with diploma,Employee,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",4.0
4270,51-60,Male,High school graduate with diploma,Employee,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",2.0
4271,31-40,Male,Bachelor's degree,Employee,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",4.0
4272,18-25,Female,Bachelor's degree,Out of work but not currently looking for work,Agree,Disagree,Agree,Agree,Agree,Somewhat concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",1.0
4273,31-40,Male,Bachelor's degree,Employee,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Very concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",4.0
4274,31-40,Female,Master's degree,Employee,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Somewhat concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",4.0
4275,31-40,Male,Bachelor's degree,Employee,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat concerned,"For me Ali Smith accepting a CBE was just cringe and disappointing. Thats the only person I can think of where Ive thought, well, thats a disappointing surprise .",3.0
4276,41-50,Female,Bachelor's degree,Employee,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Very concerned," Why So far you've lied about Mexico paying for a wall, lied about funding being taken from the military and lied the 9th circuit Court issuing a opinion Instead of a ruling. You clearly live on a different planet. I think you should build the way legally. We disagree..",2.0
4277,41-50,Male,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Very concerned," Why So far you've lied about Mexico paying for a wall, lied about funding being taken from the military and lied the 9th circuit Court issuing a opinion Instead of a ruling. You clearly live on a different planet. I think you should build the way legally. We disagree..",2.0
4278,18-25,Female,Associate degree,Employee,Neither agree nor disagree,Agree,Disagree,Strongly Disagree,Agree,Somewhat concerned," Why So far you've lied about Mexico paying for a wall, lied about funding being taken from the military and lied the 9th circuit Court issuing a opinion Instead of a ruling. You clearly live on a different planet. I think you should build the way legally. We disagree..",2.0
4279,31-40,Male,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Very concerned," Why So far you've lied about Mexico paying for a wall, lied about funding being taken from the military and lied the 9th circuit Court issuing a opinion Instead of a ruling. You clearly live on a different planet. I think you should build the way legally. We disagree..",4.0
4280,51-60,Male,Bachelor's degree,Self-employed,Agree,Agree,Agree,Agree,Agree,Somewhat concerned," Why So far you've lied about Mexico paying for a wall, lied about funding being taken from the military and lied the 9th circuit Court issuing a opinion Instead of a ruling. You clearly live on a different planet. I think you should build the way legally. We disagree..",5.0
4281,31-40,Male,Master's degree,Self-employed,Agree,Disagree,Disagree,Agree,Agree,A little concerned," Why So far you've lied about Mexico paying for a wall, lied about funding being taken from the military and lied the 9th circuit Court issuing a opinion Instead of a ruling. You clearly live on a different planet. I think you should build the way legally. We disagree..",2.0
4282,41-50,Male,Master's degree,Self-employed,Strongly agree,Agree,Disagree,Neither agree nor disagree,Disagree,Very concerned," Why So far you've lied about Mexico paying for a wall, lied about funding being taken from the military and lied the 9th circuit Court issuing a opinion Instead of a ruling. You clearly live on a different planet. I think you should build the way legally. We disagree..",3.0
4283,31-40,Male,Bachelor's degree,Self-employed,Agree,Agree,Strongly Disagree,Disagree,Disagree,Very concerned," Why So far you've lied about Mexico paying for a wall, lied about funding being taken from the military and lied the 9th circuit Court issuing a opinion Instead of a ruling. You clearly live on a different planet. I think you should build the way legally. We disagree..",5.0
4284,31-40,Female,High school graduate with diploma,Self-employed,Agree,Disagree,Disagree,Disagree,Agree,Somewhat concerned," Why So far you've lied about Mexico paying for a wall, lied about funding being taken from the military and lied the 9th circuit Court issuing a opinion Instead of a ruling. You clearly live on a different planet. I think you should build the way legally. We disagree..",3.0
4285,31-40,Male,High school graduate with diploma,Employee,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Somewhat concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,2.0
4286,26-30,Female,Bachelor's degree,Self-employed,Agree,Strongly agree,Agree,Agree,Agree,A little concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,4.0
4287,26-30,Male,Bachelor's degree,Employee,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,4.0
4288,31-40,Male,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,A little concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,5.0
4289,Above 60 years old,Male,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,A little concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,2.0
4290,41-50,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Neither agree nor disagree,Agree,A little concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,4.0
4291,31-40,Male,Bachelor's degree,Self-employed,Disagree,Strongly agree,Agree,Disagree,Agree,A little concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,2.0
4292,31-40,Male,Master's degree,Employee,Agree,Strongly agree,Agree,Agree,Agree,Very concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,1.0
4293,18-25,Female,High school graduate with diploma,Employee,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,3.0
4294,26-30,Male,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,A little concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,2.0
4295,26-30,Male,Master's degree,Self-employed,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,A little concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,3.0
4296,31-40,Male,Bachelor's degree,Employee,Agree,Strongly agree,Disagree,Strongly Disagree,Disagree,A little concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,4.0
4297,26-30,Male,Bachelor's degree,Employee,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Somewhat concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,3.0
4298,31-40,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,A little concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,4.0
4299,26-30,Female,Bachelor's degree,Self-employed,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Agree,Somewhat concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,4.0
4300,41-50,Female,Master's degree,Self-employed,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,2.0
4301,26-30,Male,Bachelor's degree,Employee,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Somewhat concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,3.0
4302,18-25,Female,Bachelor's degree,Employee,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,A little concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,3.0
4303,41-50,Female,Associate degree,Employee,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Somewhat concerned, I think Ive got the plot now but theres lots of weirdness in the various strands of the story.,3.0
4304,41-50,Female,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,A little concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",4.0
4305,31-40,Male,"8th Up to 12th grade, no diploma",Self-employed,Disagree,Disagree,Strongly Disagree,Neither agree nor disagree,Disagree,Very concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",3.0
4306,26-30,Male,Bachelor's degree,Employee,Agree,Strongly Disagree,Agree,Agree,Neither agree nor disagree,Very concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",4.0
4307,18-25,Female,High school graduate with diploma,Employee,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",3.0
4308,31-40,Male,Master's degree,Employee,Strongly agree,Agree,Agree,Strongly agree,Agree,Very concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",4.0
4309,31-40,Male,Bachelor's degree,Self-employed,Agree,Strongly agree,Agree,Agree,Agree,A little concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",3.0
4310,26-30,Male,High school graduate with diploma,Employee,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,A little concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",1.0
4311,31-40,Female,Master's degree,Self-employed,Agree,Agree,Agree,Agree,Agree,A little concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",4.0
4312,31-40,Female,High school graduate with diploma,Employee,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",3.0
4313,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Somewhat concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",4.0
4314,31-40,Female,"8th Up to 12th grade, no diploma",Self-employed,Neither agree nor disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Very concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",2.0
4315,31-40,Female,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,A little concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",1.0
4316,31-40,Male,Bachelor's degree,Self-employed,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",3.0
4317,41-50,Female,Master's degree,Self-employed,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",4.0
4318,31-40,Male,Bachelor's degree,Self-employed,Agree,Agree,Strongly Disagree,Disagree,Disagree,Very concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",3.0
4319,41-50,Male,Master's degree,Employee,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",3.0
4320,18-25,Female,Master's degree,Self-employed,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Somewhat concerned," But side note, I dont have a college degree for a few reasons but unlike most of my area who does or doesnt, Im not religious and can think for myself and wont drink their kool aid.",4.0
4321,18-25,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Agree,Agree,A little concerned,It's become a brain fog kind of day. I think that last walk around the roof making sure there are channels to the drains pushed me over the edge..,3.0
4322,31-40,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,A little concerned,It's become a brain fog kind of day. I think that last walk around the roof making sure there are channels to the drains pushed me over the edge..,5.0
4323,18-25,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Very concerned,It's become a brain fog kind of day. I think that last walk around the roof making sure there are channels to the drains pushed me over the edge..,5.0
4324,31-40,Female,Bachelor's degree,Employee,Agree,Agree,Agree,Agree,Agree,Very concerned,It's become a brain fog kind of day. I think that last walk around the roof making sure there are channels to the drains pushed me over the edge..,1.0
4325,31-40,Male,Bachelor's degree,Self-employed,Agree,Neither agree nor disagree,Agree,Disagree,Agree,A little concerned,It's become a brain fog kind of day. I think that last walk around the roof making sure there are channels to the drains pushed me over the edge..,1.0
4326,41-50,Female,Bachelor's degree,Self-employed,Strongly agree,Agree,Disagree,Disagree,Agree,Very concerned,It's become a brain fog kind of day. I think that last walk around the roof making sure there are channels to the drains pushed me over the edge..,2.0
4327,51-60,Male,Bachelor's degree,Employee,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,A little concerned,It's become a brain fog kind of day. I think that last walk around the roof making sure there are channels to the drains pushed me over the edge..,2.0
4328,31-40,Male,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Strongly agree,Agree,A little concerned,It's become a brain fog kind of day. I think that last walk around the roof making sure there are channels to the drains pushed me over the edge..,4.0
4329,18-25,Female,High school graduate with diploma,Employee,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very concerned,It's become a brain fog kind of day. I think that last walk around the roof making sure there are channels to the drains pushed me over the edge..,2.0
4330,41-50,Female,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Somewhat concerned,It's become a brain fog kind of day. I think that last walk around the roof making sure there are channels to the drains pushed me over the edge..,4.0
4331,51-60,Female,Master's degree,Employee,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Very concerned,It's become a brain fog kind of day. I think that last walk around the roof making sure there are channels to the drains pushed me over the edge..,2.0
4332,31-40,Female,"8th Up to 12th grade, no diploma",Self-employed,Neither agree nor disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Very concerned,It's become a brain fog kind of day. I think that last walk around the roof making sure there are channels to the drains pushed me over the edge..,1.0
4333,41-50,Female,Master's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat concerned,It's become a brain fog kind of day. I think that last walk around the roof making sure there are channels to the drains pushed me over the edge..,3.0
4334,18-25,Female,Bachelor's degree,Employee,Strongly agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Disagree,Very concerned,It's become a brain fog kind of day. I think that last walk around the roof making sure there are channels to the drains pushed me over the edge..,4.0
4335,18-25,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,A little concerned,It's become a brain fog kind of day. I think that last walk around the roof making sure there are channels to the drains pushed me over the edge..,3.0
4336,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,A little concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,1.0
4337,51-60,Male,Bachelor's degree,Employee,Agree,Agree,Neither agree nor disagree,Agree,Agree,A little concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,3.0
4338,41-50,Male,Master's degree,Self-employed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,1.0
4339,31-40,Female,Master's degree,A homemaker,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Very concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,1.0
4340,26-30,Female,"8th Up to 12th grade, no diploma",Employee,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,5.0
4341,31-40,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Very concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,3.0
4342,31-40,Female,Master's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Agree,Very concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,3.0
4343,18-25,Female,High school graduate with diploma,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,4.0
4344,31-40,Male,Bachelor's degree,Employee,Agree,Strongly agree,Disagree,Strongly Disagree,Disagree,A little concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,5.0
4345,31-40,Female,"8th Up to 12th grade, no diploma",Out of work and looking for work,Strongly agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,A little concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,4.0
4346,26-30,Male,High school graduate with diploma,Self-employed,Strongly agree,Strongly agree,Agree,Agree,Agree,Somewhat concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,4.0
4347,18-25,Female,Master's degree,Employee,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Somewhat concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,2.0
4348,51-60,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Agree,Agree,A little concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,4.0
4349,41-50,Male,Master's degree,Employee,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Very concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,4.0
4350,26-30,Female,Bachelor's degree,Self-employed,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Agree,Somewhat concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,3.0
4351,41-50,Male,Bachelor's degree,Employee,Agree,Agree,Strongly agree,Agree,Strongly agree,A little concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,2.0
4352,41-50,Female,Master's degree,Employee,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,4.0
4353,26-30,Female,Bachelor's degree,Employee,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat concerned,OKAY SO I JUST SWEPT CYNTHIA USING TWO POKEMON out of these six which two do you think it was  Empoleon  Houndoom  Garchomp  Leafeon  Magnezone  Crobat.,3.0
4354,31-40,Female,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Agree,Agree,Somewhat concerned," YOU SHOULD OF TAKEN YOUR MEDS. BIPOLOR ISNT NOTHING TO LAUGH AT. YOUR BIPOLAR RIGHT, WE ALL THINK SO..",2.0
4355,26-30,Female,Bachelor's degree,Self-employed,Agree,Agree,Agree,Agree,Agree,Somewhat concerned," YOU SHOULD OF TAKEN YOUR MEDS. BIPOLOR ISNT NOTHING TO LAUGH AT. YOUR BIPOLAR RIGHT, WE ALL THINK SO..",3.0
